,Displacement,Horse power,Weight,Fuel consumption,Acceleration
0,307,130,3504,18,12
1,350,165,3693,15,11.5
2,318,150,3436,18,11
3,304,150,3433,16,12
4,302,140,3449,17,10.5
5,429,198,4341,15,10
6,454,220,4354,14,9
7,440,215,4312,14,8.5
8,455,225,4425,14,10
9,390,190,3850,15,8.5
10,383,170,3563,15,10
11,340,160,3609,14,8
12,400,150,3761,15,9.5
13,455,225,3086,14,10
14,113,95,2372,24,15
15,198,95,2833,22,15.5
16,199,97,2774,18,15.5
17,200,85,2587,21,16
18,97,88,2130,27,14.5
19,97,46,1835,26,20.5
20,110,87,2672,25,17.5
21,107,90,2430,24,14.5
22,104,95,2375,25,17.5
23,121,113,2234,26,12.5
24,199,90,2648,21,15
25,360,215,4615,10,14
26,307,200,4376,10,15
27,318,210,4382,11,13.5
28,304,193,4732,9,18.5
29,97,88,2130,27,14.5
30,140,90,2264,28,15.5
31,113,95,2228,25,14
32,232,100,2634,19,13
33,225,105,3439,16,15.5
34,250,100,3329,17,15.5
35,250,88,3302,19,15.5
36,232,100,3288,18,15.5
37,350,165,4209,14,12
38,400,175,4464,14,11.5
39,351,153,4154,14,13.5
40,318,150,4096,14,13
41,383,180,4955,12,11.5
42,400,170,4746,13,12
43,400,175,5140,13,12
44,258,110,2962,18,13.5
45,140,72,2408,22,19
46,250,100,3282,19,15
47,250,88,3139,18,14.5
48,122,86,2220,23,14
49,116,90,2123,28,14
50,79,70,2074,30,19.5
51,88,76,2065,30,14.5
52,71,65,1773,31,19
53,72,69,1613,35,18
54,97,60,1834,27,19
55,91,70,1955,26,20.5
56,113,95,2278,24,15.5
57,97.5,80,2126,25,17
58,97,54,2254,23,23.5
59,140,90,2408,20,19.5
60,122,86,2226,21,16.5
61,350,165,4274,13,12
62,400,175,4385,14,12
63,318,150,4135,15,13.5
64,351,153,4129,14,13
65,304,150,3672,17,11.5
66,429,208,4633,11,11
67,350,155,4502,13,13.5
68,350,160,4456,12,13.5
69,400,190,4422,13,12.5
70,70,97,2330,19,13.5
71,304,150,3892,15,12.5
72,307,130,4098,13,14
73,302,140,4294,13,16
74,318,150,4077,14,14
75,121,112,2933,18,14.5
76,121,76,2511,22,18
77,120,87,2979,21,19.5
78,96,69,2189,26,18
79,122,86,2395,22,16
80,97,92,2288,28,17
81,120,97,2506,23,14.5
82,98,80,2164,28,15
83,97,88,2100,27,16.5
84,350,175,4100,13,13
85,304,150,3672,14,11.5
86,350,145,3988,13,13
87,302,137,4042,14,14.5
88,318,150,3777,15,12.5
89,429,198,4952,12,11.5
90,400,150,4464,13,12
91,351,158,4363,13,13
92,318,150,4237,14,14.5
93,440,215,4735,13,11
94,455,225,4951,12,11
95,360,175,3821,13,11
96,225,105,3121,18,16.5
97,250,100,3278,16,18
98,232,100,2945,18,16
99,250,88,3021,18,16.5
100,198,95,2904,23,16
101,97,46,1950,26,21
102,400,150,4997,11,14
103,400,167,4906,12,12.5
104,360,170,4654,13,13
105,350,180,4499,12,12.5
106,232,100,2789,18,15
107,97,88,2279,20,19
108,140,72,2401,21,19.5
109,108,94,2379,22,16.5
110,70,90,2124,18,13.5
111,122,85,2310,19,18.5
112,155,107,2472,21,14
113,98,90,2265,26,15.5
114,350,145,4082,15,13
115,400,230,4278,16,9.5
116,68,49,1867,29,19.5
117,116,75,2158,24,15.5
118,114,91,2582,20,14
119,121,112,2868,19,15.5
120,318,150,3399,15,11
121,121,110,2660,24,14
122,156,122,2807,20,13.5
123,350,180,3664,11,11
124,198,95,3102,20,16.5
125,232,100,2901,19,16
126,250,100,3336,15,17
127,79,67,1950,31,19
128,122,80,2451,26,16.5
129,71,65,1836,32,21
130,140,75,2542,25,17
131,250,100,3781,16,17
132,258,110,3632,16,18
133,225,105,3613,18,16.5
134,302,140,4141,16,14
135,350,150,4699,13,14.5
136,318,150,4457,14,13.5
137,302,140,4638,14,16
138,304,150,4257,14,15.5
139,98,83,2219,29,16.5
140,79,67,1963,26,15.5
141,97,78,2300,26,14.5
142,76,52,1649,31,16.5
143,83,61,2003,32,19
144,90,75,2125,28,14.5
145,90,75,2108,24,15.5
146,116,75,2246,26,14
147,120,97,2489,24,15
148,108,93,2391,26,15.5
149,79,67,2000,31,16
150,225,95,3264,19,16
151,250,105,3459,18,16
152,250,72,3432,15,21
153,250,72,3158,15,19.5
154,400,170,4668,16,11.5
155,350,145,4440,15,14
156,318,150,4498,16,14.5
157,351,148,4657,14,13.5
158,231,110,3907,17,21
159,250,105,3897,16,18.5
160,258,110,3730,15,19
161,225,95,3785,18,19
162,231,110,3039,21,15
163,262,110,3221,20,13.5
164,302,129,3169,13,12
165,97,75,2171,29,16
166,140,83,2639,23,17
167,232,100,2914,20,16
168,140,78,2592,23,18.5
169,134,96,2702,24,13.5
170,90,71,2223,25,16.5
171,119,97,2545,24,17
172,171,97,2984,18,14.5
173,90,70,1937,29,14
174,232,90,3211,19,17
175,115,95,2694,23,15
176,120,88,2957,23,17
177,121,98,2945,22,14.5
178,121,115,2671,25,13.5
179,91,53,1795,33,17.5
180,107,86,2464,28,15.5
181,116,81,2220,25,16.9
182,140,92,2572,25,14.9
183,98,79,2255,26,17.7
184,101,83,2202,27,15.3
185,305,140,4215,17.5,13
186,318,150,4190,16,13
187,304,120,3962,15.5,13.9
188,351,152,4215,14.5,12.8
189,225,100,3233,22,15.4
190,250,105,3353,22,14.5
191,200,81,3012,24,17.6
192,232,90,3085,22.5,17.6
193,85,52,2035,29,22.2
194,98,60,2164,24.5,22.1
195,90,70,1937,29,14.2
196,91,53,1795,33,17.4
197,225,100,3651,20,17.7
198,250,78,3574,18,21
199,250,110,3645,18.5,16.2
200,258,95,3193,17.5,17.8
201,97,71,1825,29.5,12.2
202,85,70,1990,32,17
203,97,75,2155,28,16.4
204,140,72,2565,26.5,13.6
205,130,102,3150,20,15.7
206,318,150,3940,13,13.2
207,120,88,3270,19,21.9
208,156,108,2930,19,15.5
209,168,120,3820,16.5,16.7
210,350,180,4380,16.5,12.1
211,350,145,4055,13,12
212,302,130,3870,13,15
213,318,150,3755,13,14
214,98,68,2045,31.5,18.5
215,111,80,2155,30,14.8
216,79,58,1825,36,18.6
217,122,96,2300,25.5,15.5
218,85,70,1945,33.5,16.8
219,305,145,3880,17.5,12.5
220,260,110,4060,17,19
221,318,145,4140,15.5,13.7
222,302,130,4295,15,14.9
223,250,110,3520,17.5,16.4
224,231,105,3425,20.5,16.9
225,225,100,3630,19,17.7
226,250,98,3525,18.5,19
227,400,180,4220,16,11.1
228,350,170,4165,15.5,11.4
229,400,190,4325,15.5,12.2
230,351,149,4335,16,14.5
231,97,78,1940,29,14.5
232,151,88,2740,24.5,16
233,97,75,2265,26,18.2
234,140,89,2755,25.5,15.8
235,98,63,2051,30.5,17
236,98,83,2075,33.5,15.9
237,97,67,1985,30,16.4
238,97,78,2190,30.5,14.1
239,146,97,2815,22,14.5
240,121,110,2600,21.5,12.8
241,80,110,2720,21.5,13.5
242,90,48,1985,43.1,21.5
243,98,66,1800,36.1,14.4
244,78,52,1985,32.8,19.4
245,85,70,2070,39.4,18.6
246,91,60,1800,36.1,16.4
247,260,110,3365,19.9,15.5
248,318,140,3735,19.4,13.2
249,302,139,3570,20.2,12.8
250,231,105,3535,19.2,19.2
251,200,95,3155,20.5,18.2
252,200,85,2965,20.2,15.8
253,140,88,2720,25.1,15.4
254,225,100,3430,20.5,17.2
255,232,90,3210,19.4,17.2
256,231,105,3380,20.6,15.8
257,200,85,3070,20.8,16.7
258,225,110,3620,18.6,18.7
259,258,120,3410,18.1,15.1
260,305,145,3425,19.2,13.2
261,231,165,3445,17.7,13.4
262,302,139,3205,18.1,11.2
263,318,140,4080,17.5,13.7
264,98,68,2155,30,16.5
265,134,95,2560,27.5,14.2
266,119,97,2300,27.2,14.7
267,105,75,2230,30.9,14.5
268,134,95,2515,21.1,14.8
269,156,105,2745,23.2,16.7
270,151,85,2855,23.8,17.6
271,119,97,2405,23.9,14.9
272,131,103,2830,20.3,15.9
273,163,125,3140,17,13.6
274,121,115,2795,21.6,15.7
275,163,133,3410,16.2,15.8
276,89,71,1990,31.5,14.9
277,98,68,2135,29.5,16.6
278,231,115,3245,21.5,15.4
279,200,85,2990,19.8,18.2
280,140,88,2890,22.3,17.3
281,232,90,3265,20.2,18.2
282,225,110,3360,20.6,16.6
283,305,130,3840,17,15.4
284,302,129,3725,17.6,13.4
285,351,138,3955,16.5,13.2
286,318,135,3830,18.2,15.2
287,350,155,4360,16.9,14.9
288,351,142,4054,15.5,14.3
289,267,125,3605,19.2,15
290,360,150,3940,18.5,13
291,89,71,1925,31.9,14
292,86,65,1975,34.1,15.2
293,98,80,1915,35.7,14.4
294,121,80,2670,27.4,15
295,183,77,3530,25.4,20.1
296,350,125,3900,23,17.4
297,141,71,3190,27.2,24.8
298,260,90,3420,23.9,22.2
299,105,70,2200,34.2,13.2
300,105,70,2150,34.5,14.9
301,85,65,2020,31.8,19.2
302,91,69,2130,37.3,14.7
303,151,90,2670,28.4,16
304,173,115,2595,28.8,11.3
305,173,115,2700,26.8,12.9
306,151,90,2556,33.5,13.2
307,98,76,2144,41.5,14.7
308,89,60,1968,38.1,18.8
309,98,70,2120,32.1,15.5
310,86,65,2019,37.2,16.4
311,151,90,2678,28,16.5
312,140,88,2870,26.4,18.1
313,151,90,3003,24.3,20.1
314,225,90,3381,19.1,18.7
315,97,78,2188,34.3,15.8
316,134,90,2711,29.8,15.5
317,120,75,2542,31.3,17.5
318,119,92,2434,37,15
319,108,75,2265,32.2,15.2
320,86,65,2110,46.6,17.9
321,156,105,2800,27.9,14.4
322,85,65,2110,40.8,19.2
323,90,48,2085,44.3,21.7
324,90,48,2335,43.4,23.7
325,121,67,2950,36.4,19.9
326,146,67,3250,30,21.8
327,91,67,1850,44.6,13.8
328,97,67,2145,33.8,18
329,89,62,1845,29.8,15.3
330,168,132,2910,32.7,11.4
331,70,100,2420,23.7,12.5
332,122,88,2500,35,15.1
333,107,72,2290,32.4,17
334,135,84,2490,27.2,15.7
335,151,84,2635,26.6,16.4
336,156,92,2620,25.8,14.4
337,173,110,2725,23.5,12.6
338,135,84,2385,30,12.9
339,79,58,1755,39.1,16.9
340,86,64,1875,39,16.4
341,81,60,1760,35.1,16.1
342,97,67,2065,32.3,17.8
343,85,65,1975,37,19.4
344,89,62,2050,37.7,17.3
345,91,68,1985,34.1,16
346,105,63,2215,34.7,14.9
347,98,65,2045,34.4,16.2
348,98,65,2380,29.9,20.7
349,105,74,2190,33,14.2
350,107,75,2210,33.7,14.4
351,108,75,2350,32.4,16.8
352,119,100,2615,32.9,14.8
353,120,74,2635,31.6,18.3
354,141,80,3230,28.1,20.4
355,145,76,3160,30.7,19.6
356,168,116,2900,25.4,12.6
357,146,120,2930,24.2,13.8
358,231,110,3415,22.4,15.8
359,350,105,3725,26.6,19
360,200,88,3060,20.2,17.1
361,225,85,3465,17.6,16.6
362,112,88,2605,28,19.6
363,112,88,2640,27,18.6
364,112,88,2395,34,18
365,112,85,2575,31,16.2
366,135,84,2525,29,16
367,151,90,2735,27,18
368,140,92,2865,24,16.4
369,105,74,1980,36,15.3
370,91,68,2025,37,18.2
371,91,68,1970,31,17.6
372,105,63,2125,38,14.7
373,98,70,2125,36,17.3
374,120,88,2160,36,14.5
375,107,75,2205,36,14.5
376,108,70,2245,34,16.9
377,91,67,1965,38,15
378,91,67,1965,32,15.7
379,91,67,1995,38,16.2
380,181,110,2945,25,16.4
381,262,85,3015,38,17
382,156,92,2585,26,14.5
383,232,112,2835,22,14.7
384,144,96,2665,32,13.9
385,135,84,2370,36,13
386,151,90,2950,27,17.3
387,140,86,2790,27,15.6
388,97,52,2130,44,24.6
389,135,84,2295,32,11.6
390,120,79,2625,28,18.6
391,119,82,2720,31,19.4
